Location,high_violation_flag,total_offenses,weekend_ratio,weekend_count,avg_day,day_std,offense_per_day,risk_score,normalized_risk
4,1,1025,0.255609756097561,262,2.9092682926829267,1.9616842331241287,4.456521739130435,1506.0,1.0
1,1,864,0.16435185185185186,142,2.5497685185185186,1.6571275716626142,3.756521739130435,1315.8,0.8736044657097288
6,1,529,0.17580340264650285,93,2.4158790170132325,1.7893342550357898,2.3,821.0000000000001,0.5447900053163212
3,1,500,0.218,109,2.784,1.918516460920168,2.1739130434782608,743.4000000000001,0.49322169059011167
7,1,481,0.20374220374220375,98,2.6632016632016633,1.762714921552515,2.091304347826087,725.4000000000001,0.4812599681020734
9,1,301,0.16279069767441862,49,2.495016611295681,1.8647989390431554,1.308695652173913,461.6,0.3059542796384902
17,1,298,0.12416107382550336,37,2.48993288590604,1.775696191688629,1.2956521739130435,455.00000000000006,0.30156831472620954
28,0,207,0.15942028985507245,33,2.101449275362319,1.924383100265973,0.9,333.6,0.22089314194577356
5,0,203,0.21182266009852216,43,2.6600985221674875,1.9518292994029232,0.8826086956521739,306.6,0.20295055821371613
25,0,187,0.0962566844919786,18,2.411764705882353,1.536813694445686,0.8130434782608695,287.4,0.1901913875598086
10,0,195,0.28205128205128205,55,2.953846153846154,1.8536459133517513,0.8478260869565217,285.8,0.18912812333864967
12,0,177,0.1864406779661017,33,2.5084745762711864,1.774563467664771,0.7695652173913043,271.8,0.1798245614035088
14,0,181,0.1712707182320442,31,2.707182320441989,1.7086067471991868,0.7869565217391304,270.2,0.17876129718234982
11,0,153,0.17647058823529413,27,2.7712418300653594,1.858468285649516,0.6652173913043479,226.60000000000002,0.14978734715576825
13,0,127,0.1889763779527559,24,2.47244094488189,1.8336656480357598,0.5521739130434783,196.0,0.12945241892610315
18,0,109,0.23853211009174313,26,2.7981651376146788,1.8246248549677142,0.47391304347826085,162.2,0.10699096225412015
29,0,85,0.11764705882352941,10,1.8470588235294119,1.905542557114585,0.3695652173913043,140.6,0.09263689526847423
22,0,68,0.17647058823529413,12,2.573529411764706,1.7476310317119665,0.2956521739130435,103.39999999999998,0.06791600212652843
8,0,48,0.125,6,2.2083333333333335,1.6753320830965075,0.20869565217391303,76.0,0.049707602339181284
21,0,39,0.3076923076923077,12,2.7948717948717947,2.2026238800156315,0.16956521739130434,58.6,0.03814460393407762
24,0,28,0.21428571428571427,6,2.607142857142857,1.931019414411978,0.12173913043478261,42.599999999999994,0.027511961722488033
20,0,24,0.125,3,1.375,1.7646898976258147,0.10434782608695652,42.0,0.02711323763955343
23,0,14,0.0,0,1.3571428571428572,1.6458405781822274,0.06086956521739131,24.200000000000003,0.015284423179160024
15,0,14,0.8571428571428571,12,4.785714285714286,0.5789342235218394,0.06086956521739131,17.0,0.01049973418394471
26,0,11,0.2727272727272727,3,2.727272727272727,1.7939291563999449,0.04782608695652174,16.6,0.010233918128654972
32,0,10,0.3,3,2.3,2.1628170930011112,0.043478260869565216,16.0,0.009835194045720362
31,0,7,0.0,0,1.4285714285714286,0.7867957924694431,0.030434782608695653,12.0,0.0071770334928229675
27,0,7,0.2857142857142857,2,2.857142857142857,2.2677868380553634,0.030434782608695653,10.4,0.006113769271664008
19,0,6,0.5,3,3.1666666666666665,2.228601953392904,0.02608695652173913,8.8,0.005050505050505051
30,0,4,0.0,0,3.0,2.0,0.017391304347826087,5.6,0.0029239766081871343
16,0,4,0.75,3,4.25,1.5,0.017391304347826087,5.2,0.002658160552897395
33,0,2,0.0,0,0.0,0.0,0.008695652173913044,4.0,0.0018607123870281765
2,0,3,0.6666666666666666,2,5.0,1.7320508075688772,0.013043478260869565,3.4,0.0014619883040935672
55,0,1,0.0,0,0.0,,0.004347826086956522,2.0,0.0005316321105794789
0,0,1,1.0,1,5.0,,0.004347826086956522,1.2000000000000002,0.0
